isolate,state_loc_cont,countryCode,country,state,county,fieldCode,continent,GPC_coordinate,year,putativeSpp,qPCRAssay,storeSlant,storeFreezer,storeCryogenic,storeBin,identifiedSpp,seqEF,seqIGS,seqRPB2,seqBin,SSR43,SSR12,SSR93,SSR83,SSR4,SSR15,SSR99,SSR48,SSR38,SSR80,SSR59,SSR10
MIBer-B5,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,272,232,187,204,243
MIBer-B6,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,187,204,246
MIBer-B7,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,224,206,193,225,203,185,180,224,202,226,246,198
MIBer-C1,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,272,232,187,204,243
MIBer-C2,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,272,232,187,216,243
MIBer-C3,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,272,232,187,198,243
MIBer-C4,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,272,232,187,216,246
MIBer-C6,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,230,206,193,225,203,185,180,224,202,226,246,198
MIBer-C7,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,224,206,193,225,203,185,180,224,202,226,246,198
MIBer-D1,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,186,278,232,187,222,276
MIBer-D2,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,187,204,261
MIBer-D3,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,272,232,187,216,243
MIBer-D4,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,187,204,261
MIBer-D5,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,187,204,261
MIBer-D5-2,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,187,204,261
MIBer-D6,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,272,232,187,216,243
MIBer-D7,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,0,0,0,234,278,232,187,204,261
MIBer-E1,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,272,232,187,216,249
MIBer-E2,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,260,232,187,204,246
MIBer-E3,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,188,212,166,219,203,209,186,278,232,187,204,279
MIBer-E4,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,186,278,232,187,204,276
MIBer-E5,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,186,278,232,187,204,276
MIBer-E6,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,186,278,232,187,210,276
MIBer-E7,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,186,278,232,187,204,276
MIBer-F1,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,272,232,187,216,243
MIBer-F2,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,240,272,232,187,216,243
MIBer-F3,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,236,234,272,232,187,216,246
MIBer-F4,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,202,187,204,243
MIBer-F5,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,284,232,187,204,243
MIBer-F6,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,194,212,166,219,203,209,210,278,328,208,216,243
MIBer-F7,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,0,172,178,201,0,152,186,218,196,145,156,159
MIBer-G1,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,272,232,187,216,243
MIBer-G2,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,187,204,246
MIBer-G3,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,240,278,232,187,204,246
MIBer-G4,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,187,204,243
MIBer-G5,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,187,204,246
MIBer-G6,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,187,204,246
MIBer-G7,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,202,204,243
MIBer-out,Michigan_MIBer_NorAm,USA,UnitedStates,Michigan,Berrien,MIBer,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,272,256,187,216,243
MISA-A1,Michigan_MISA_NorAm,USA,UnitedStates,Michigan,Saginaw,MISA,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,209,226,193,231,205,212,210,284,268,163,204,228
MISA-A2,Michigan_MISA_NorAm,USA,UnitedStates,Michigan,Saginaw,MISA,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,209,226,193,231,205,212,210,284,268,163,204,228
MISA-A3,Michigan_MISA_NorAm,USA,UnitedStates,Michigan,Saginaw,MISA,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,284,232,178,204,246
MISA-A4,Michigan_MISA_NorAm,USA,UnitedStates,Michigan,Saginaw,MISA,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,284,232,178,204,246
MISA-B1,Michigan_MISA_NorAm,USA,UnitedStates,Michigan,Saginaw,MISA,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,209,224,193,231,205,212,210,284,268,163,204,228
MISA-B3,Michigan_MISA_NorAm,USA,UnitedStates,Michigan,Saginaw,MISA,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,284,232,178,204,246
MISA-B6,Michigan_MISA_NorAm,USA,UnitedStates,Michigan,Saginaw,MISA,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,272,232,187,216,243
MISA-C4,Michigan_MISA_NorAm,USA,UnitedStates,Michigan,Saginaw,MISA,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,284,232,178,204,246
MISA-C6,Michigan_MISA_NorAm,USA,UnitedStates,Michigan,Saginaw,MISA,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,210,166,219,205,251,234,278,232,187,204,243
MISA-D1,Michigan_MISA_NorAm,USA,UnitedStates,Michigan,Saginaw,MISA,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,0,0,166,219,203,212,234,284,232,178,0,246
MISA-D7,Michigan_MISA_NorAm,USA,UnitedStates,Michigan,Saginaw,MISA,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,272,232,187,216,243
MISA-G1,Michigan_MISA_NorAm,USA,UnitedStates,Michigan,Saginaw,MISA,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,284,232,187,222,246
MISA-G5-a,Michigan_MISA_NorAm,USA,UnitedStates,Michigan,Saginaw,MISA,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,278,232,166,204,243
MISTJ-A1,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,187,204,246
MISTJ-A2,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,284,232,187,204,243
MISTJ-A3,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,187,204,246
MISTJ-A4,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,187,204,252
MISTJ-A5,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,272,232,187,216,243
MISTJ-A6,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,272,232,187,216,243
MISTJ-B1,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,188,212,166,219,203,209,234,254,232,187,204,243
MISTJ-B2,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,254,232,187,204,234
MISTJ-B3,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,254,232,187,204,246
MISTJ-B4,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,169,204,243
MISTJ-C2,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,188,212,166,219,203,209,234,254,232,187,204,243
MISTJ-C3,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,224,206,193,219,203,185,174,224,202,226,246,198
MISTJ-C5,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,272,232,187,216,243
MISTJ-C6,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,186,278,232,187,204,276
MISTJ-C7,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,188,212,166,219,203,209,234,254,196,187,204,243
MISTJ-D5,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,272,232,187,216,243
MISTJ-D6,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,122,170,184,183,177,0,0,110,202,145,156,159
MISTJ-D7,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,278,208,190,204,207
MISTJ-E2,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,187,204,246
MISTJ-E4,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,278,232,187,204,243
MISTJ-E4a,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,0,212,166,219,205,212,234,278,232,187,204,246
MISTJ-E4b,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,0,234,278,232,187,204,246
MISTJ-E5,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,272,232,187,204,246
MISTJ-E6,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,254,232,187,204,243
MISTJ-E7,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,187,204,246
MISTJ-F1,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,260,232,187,204,246
MISTJ-F2,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,284,208,190,204,240
MISTJ-F3,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,187,204,246
MISTJ-F5,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,254,232,187,210,246
MISTJ-F6,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,170,206,193,219,205,209,240,218,232,238,210,228
MISTJ-G3,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,187,204,246
MISTJ-G4,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,210,166,219,203,209,186,278,232,187,204,273
MISTJ-G5,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,0,212,166,219,203,209,186,278,232,187,204,273
MISTJ-G7,Michigan_MISTJ_NorAm,USA,UnitedStates,Michigan,StJoseph,MISTJ,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,0,212,166,219,203,209,234,272,232,187,216,246
MITU-A1,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,284,208,187,204,216
MITU-A2,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,246,272,232,190,204,249
MITU-A3,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,166,166,219,205,212,234,278,232,187,204,246
MITU-A4,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,187,204,246
MITU-A5,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,284,232,187,204,246
MITU-A6,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,209,212,166,219,203,209,234,254,232,187,204,246
MITU-A7,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,215,234,284,208,187,204,216
MITU-B1,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,284,232,187,204,243
MITU-B2,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,194,212,166,219,203,209,234,272,232,187,210,246
MITU-B3,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,194,212,166,219,203,209,234,272,232,187,204,249
MITU-B3b,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,194,212,166,219,203,209,234,272,232,187,204,249
MITU-B4,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,166,166,219,205,212,234,284,232,187,204,243
MITU-B5,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,166,166,219,205,212,234,284,232,187,204,243
MITU-B6,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,284,232,187,204,243
MITU-B7,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,284,232,187,204,243
MITU-B7-2,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,272,232,190,216,243
MITU-C1,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,284,208,187,204,216
MITU-C2,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,214,166,219,203,209,234,254,232,187,204,246
MITU-C3-b,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,0,212,166,219,201,209,234,272,232,187,204,249
MITU-C3a,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,194,212,166,219,203,209,234,272,232,187,204,249
MITU-C4,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,187,204,243
MITU-C5,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,284,232,187,204,243
MITU-C6,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,198,284,232,187,204,243
MITU-C7a,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,284,232,187,204,243
MITU-C7b,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,284,232,187,204,243
MITU-D1,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,284,232,187,204,243
MITU-D2,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,233,234,278,232,187,204,243
MITU-D3,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,186,284,232,187,204,276
MITU-D4,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,284,208,187,204,216
MITU-D5,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,187,204,249
MITU-D6,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,209,212,166,219,203,209,234,272,232,187,216,0
MITU-D7,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,290,232,187,204,243
MITU-E1,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,254,232,187,204,246
MITU-E2,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,278,232,187,204,246
MITU-E3,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,284,232,187,204,243
MITU-E4,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,284,232,187,204,249
MITU-E5,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,272,232,187,216,243
MITU-E6,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,209,212,166,219,203,209,234,272,232,187,216,243
MITU-E7,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,272,232,187,216,243
MITU-F1,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,254,232,187,204,243
MITU-F2,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,233,234,278,232,187,204,243
MITU-F3,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,266,232,187,204,246
MITU-F4,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,284,232,187,204,249
MITU-F5,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,209,212,166,219,203,209,234,272,232,187,216,243
MITU-F6,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,191,212,166,219,203,209,234,284,232,166,204,246
MITU-F7,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,215,234,278,232,187,204,246
MITU-G1,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,290,232,187,204,243
MITU-G2,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,212,234,284,232,187,204,249
MITU-G3,Michigan_MITU_NorAm,USA,UnitedStates,Michigan,Tuscola,MITU,NorthAmerica,,2012,F. virguliforme,,,,,,,,,,,143,212,166,219,205,233,234,278,232,187,204,243
