Strain	Conc	Rep	Area1	Area2	Rel_Area
34549	5	3	0.06	0.27	0.21
34549	10	1	0.05	0.25	0.2
34549	10	2	0.06	0.29	0.23
34549	10	3	0.05	0.29	0.24
34549	25	1	0.05	0.23	0.18
34549	25	2	0.03	0.16	0.13
34549	25	3	0.04	0.17	0.13
34549	50	1	0.04	0.27	0.23
34549	50	2	0.04	0.22	0.18
34549	50	3	0.04	0.25	0.21
34549	100	1	0.04	0.14	0.1
34549	100	2	0.04	0.16	0.12
34549	100	3	0.03	0.16	0.13
34938	0	1	1.42	16.87	15.45
34938	0	2	1.62	17.16	15.54
34938	0	3	1.38	16.45	15.07
34938	1	1	0.25	1.05	0.8
34938	1	2	0.22	1.04	0.82
34938	1	3	0.25	1.32	1.07
34938	5	1	0.1	0.41	0.31
34938	5	2	0.09	0.51	0.42
34938	5	3	0.11	0.63	0.52
34938	10	1	0.09	0.51	0.42
34938	10	2	0.1	0.6	0.5
34938	10	3	0.07	0.5	0.43
34938	25	1	0.09	0.41	0.32
34938	25	2	0.09	0.42	0.33
34938	25	3	0.09	0.4	0.31
34938	50	1	0.07	0.31	0.24
34938	50	2	0.08	0.37	0.29
34938	50	3	0.08	0.39	0.31
34938	100	1	0.07	0.35	0.28
34938	100	2	0.09	0.32	0.23
34938	100	3	0.07	0.26	0.19
54361	0	1	0.29	2.5	2.21
54361	0	2	0.25	2.53	2.28
54361	0	3	0.15	2.39	2.24
54361	1	1	0.08	1.51	1.43
54361	1	2	0.05	1.12	1.07
54361	1	3	0.05	1.14	1.09
54361	5	1	0.04	0.54	0.5
54361	5	2	0.04	0.81	0.77
54361	5	3	0.05	0.37	0.32
54361	10	1	0.05	0.7	0.65
54361	10	2	0.05	0.56	0.51
54361	10	3	0.05	0.63	0.58
54361	25	1	0.04	0.26	0.22
54361	25	2	0.04	0.19	0.15
54361	25	3	0.04	0.21	0.17
54361	50	1	0.05	0.41	0.36
54361	50	2	0.04	0.58	0.54
54361	50	3	0.05	0.53	0.48
54361	100	1	0.05	0.18	0.13
54361	100	2	0.06	0.41	0.35
54361	100	3	0.04	0.14	0.1
54362	0	1	0.67	2.11	1.44
54362	0	2	0.69	2.27	1.58
54362	0	3	0.74	2.51	1.77
54362	1	1	0.1	1.68	1.58
54362	1	2	0.1	1.8	1.7
54362	1	3	0.12	1.54	1.42
54362	5	1	0.05	1.44	1.39
54362	5	2	0.05	1.25	1.2
54362	5	3	0.05	1.12	1.07
54362	10	1	0.09	1.39	1.3
54362	10	2	0.09	1.86	1.77
54362	10	3	0.06	1.66	1.6
54362	25	1	0.07	0.75	0.68
54362	25	2	0.05	0.56	0.51
54362	25	3	0.06	0.97	0.91
54362	50	1	0.06	1.12	1.06
54362	50	2	0.03	0.84	0.81
54362	50	3	0.04	1.34	1.3
54362	100	1	0.06	0.62	0.56
54362	100	2	0.04	0.37	0.33
54362	100	3	0.03	0.23	0.2
Mont1	0	1	0.83	4.32	3.49
Mont1	0	2	1.09	5.17	4.08
Mont1	0	3	1.07	4.84	3.77
Mont1	1	1	0.45	4.97	4.52
Mont1	1	2	0.4	4.56	4.16
Mont1	1	3	0.46	4.8	4.34
Mont1	5	1	0.15	0.94	0.79
Mont1	5	2	0.13	0.88	0.75
Mont1	5	3	0.13	0.74	0.61
Mont1	10	1	0.12	0.71	0.59
Mont1	10	2	0.17	0.82	0.65
Mont1	10	3	0.2	1.1	0.9
Mont1	25	1	0.14	0.87	0.73
Mont1	25	2	0.13	0.83	0.7
Mont1	25	3	0.12	0.62	0.5
Mont1	50	1	0.1	0.56	0.46
Mont1	50	2	0.15	0.87	0.72
Mont1	50	3	0.13	0.89	0.76
Mont1	100	1	0.13	0.71	0.58
Mont1	100	2	0.12	0.75	0.63
Mont1	100	3	0.13	0.72	0.59
