5@INMO_E5:50	3.78	1.22	1.20	6.36
5@INMO_G6:50	2.616	0.298	1.988	3.245
5@KSSH_A1:50	3.790	0.578	2.570	5.010
5@KSSH_C2:50	1.983	0.193	1.575	2.390
5@KSSH_C4:50	3.68	0.85	1.88	5.47
5@KSSH_F4:50	2.35	11.41	-21.73	26.42
5@MIBer_B3:50	4.008	0.708	2.513	5.502
5@MIBer_E6:50	3.177	0.459	2.209	4.144
5@MIBer_F4:50	3.488	0.426	2.589	4.388
5@MISTJ_A2:50	3.553	0.558	2.376	4.731
5@MIVB_B3:50	2.496	0.386	1.678	3.314
6@ARLE_G7:50	3.224	0.697	1.755	4.694
6@DB_P30R7:50	1.844	0.267	1.280	2.408
6@INMO_A1:50	3.062	0.483	2.044	4.081
6@INMO_A5:50	2.222	0.193	1.815	2.630
6@INMO_B6:50	2.114	0.205	1.682	2.547
6@INMO_C4:50	578	NaN	NaN	NaN
6@INMO_D1:50	3.253	0.387	2.438	4.069
6@INMO_F2:50	4.028	0.342	3.307	4.749
6@KSSH_A7:50	1.170	0.484	0.150	2.191
6@MISTJ_A1:50	3.531	0.421	2.642	4.420
6@MISTJ_C6:50	3.545	0.487	2.518	4.572
6@MITU_A1:50	2.724	0.515	1.637	3.811
6@MITU_C2:50	2.60	0.31	1.95	3.26
7@ARLE_C2:50	1.476	0.789	-0.190	3.141
7@Ca2b:50	41.4	59.2	-83.5	166.4
7@KA-11-1:50	2.59	4.94	-7.82	13.01
7@KSSH_C3:50	5.030	1.993	0.826	9.235
7@KSSH_E4:50	3.595	0.995	1.495	5.695
7@MIBer_F6:50	3.240	0.592	1.992	4.489
7@MIBer_F7:50	2.26	6.44	-10.78	15.30
7@MIBer_out:50	12.8	15.7	-20.5	46.1
7@MISA_A1:50	4.47	1.12	2.11	6.82
7@MIVB_B5:50	3.71	4.58	-5.95	13.38
7@Mo1b:50	4.587	0.487	3.601	5.572
7@Mont1:50	4.51	1.39	1.56	7.45
7@SA-11-2b:50	4.960	2.633	-0.595	10.515
